lake,date,method,mesh_size,counter,thin,rotifers,year,month,cal13,cal45,calnc,dpasha,dpashc,dplepa,dplepc,dpmina,dpminc,dporga,dporgc,dpsisa,dpsisc,eplaca,eplacc,limac,secal,calcop,kasps,bolng,cerio,chsph,daamb,dapar,daret,dasps,dibir,hogla,ltkin,pmped,sicry,acvera,acverc,cybica,cybicc,cyc13,cyc45,cycnc,cyvar,mceda,mcedc,ocmoda,ocmodc,tcexta,tcextc,cyccop,mysid,anfis,apher,appri,aseca,asova,assal,assps,brsps,clsps,cnsps,cosps,cpsps,cusps,ehsps,fisps,glrot,gshyp,gssps,hxsps,klbos,kllon,krcoh,krhem,krsps,lesps,lpsps,malnf,masps,mmsps,mosps,nosps,ntsps,plsps,pmsps,podol,pomaj,porem,posps,povul,rotar,sysps,tesps,tisps,titer,trcyl,trmul,trrou,trsim,trsps,pxsps,apsps,rotsp,ptias,brqua,dplx_grp,dgal_grp,bos_tot,litt_clad,litt_cyc
373,2022-04-05,Single barrel net,53,biologica,2,1,2022,4,0,0,14.79235895,0,0,0,0,0,0,0,0,3.451550422,0,0,0,0,0,0,0,0.051008134,0,0,0,0,0,0,0,0,0,0,0,0.051008134,0,4.25067786,0.136021692,0.034005423,0,18.07955692,0,0,0,0,0,0.051008134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113344325,0,0,0,0,0,0,0,0,2.380379602,5.610894775,10.54170235,0.396737018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056682789,0,1.700271144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051008134,0,0
373,2022-06-01,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,4.660714286,0,5.714285714,0,0,0,0,0,0,0,0,0.464285714,0.392857143,0,0,0,0,0,0,0.303571429,0,0,0,0,0,0,0.214285714,0.196428571,0,0,0,0,0,2.160714286,1.642857143,11.71428571,0,18.92857143,0,0,0,0,0,0.321428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0.357142857,14.28571429,58.21428571,0,0,0,0,0,0,0,0,0,0,0,0,2.142857143,0,0.357142857,0,23.92857143,6.071428571,1.071428571,0,0,0,0,0,0,0,0,0,0,0.714285714,0,0,0,0.107142857,0.303571429,0,0
373,2022-06-15,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,2.410714286,0,0.223214286,0,0,0,0,0.044642857,3.883928571,0,0,0.267857143,2.455357143,0.089285714,0.580357143,0,0,0,0,2.008928571,0,0,0,0,0,0,0.669642857,0.714285714,0,0,0,0,0,1.5625,1.607142857,11.78571429,0,6.919642857,0,0,0,0,0,0.133928571,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,5.133928571,0,0,0,0,0,0,0,0,1.785714286,23.21428571,44.41964286,0,0,0,0,0,0,0,0,0,0,0,0,0.446428571,0,1.116071429,0,20.08928571,2.455357143,0.446428571,0,0,0,0,0,0,0,0,0,0,0.223214286,0,0,0,0.267857143,2.008928571,0,0
373,2022-06-29,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,0,0,0.925925926,0,0,0,0,2.453703704,2.175925926,0,0,0.046296296,0.740740741,0.138888889,0.324074074,0,0,0,0,0.462962963,0,0,0,0,0,0,1.296296296,0.87962963,0.009259259,0,0,0,0,2.12962963,3.101851852,13.37962963,0,3.395046296,0,0,0,0,0,0.046296296,0.092592593,0,0,0,0,0,0,0,0,0,0,0,1.234583333,0.77162037,0,0,0,0,0,0,0,0,0.77162037,20.98763889,17.90125,0,0,0,0,0,0,0,0,0,0,0,0,0.77162037,0,0.154305556,0,1.851851852,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0.308657407,0,0,0,0.694444444,0.462962963,0,0
373,2022-07-27,Salki/Palatas integrating tube,53,biologica,NA,1,2022,7,0.089285714,0,0.535714286,0,0,0,0,3.035714286,0.267857143,0,0,0.044642857,1.607142857,0,0,0,0,0,0,0.580357143,0,0,0,0,0,0,3.348214286,0,0,0,0,0,0,1.428571429,3.080357143,20.13392857,0,1.339285714,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0.535714286,8.4375,0.535714286,0,0,0.133928571,0,0,0.267857143,2.008928571,0,1.205357143,20.35714286,25.84821429,0,0,0,0,0,0,0,0,0,0,0.133928571,0,0,0.803571429,0.9375,0,11.38392857,3.080357143,1.741071429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.830357143,0.580357143,0,0
375,2022-05-31,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,5,1.302246361,0,0.956754381,0,0,0,0,0,0,0,0,0.252479508,0.730856698,0,0,0,0,0,0,0.026573853,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352021186,1.076348678,4.238956094,0,9.089166616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239188595,0,0,0,0,0,0,0.079729532,0.159459063,0,0,3.348640332,30.21749252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558106722,0.239188595,0,3.827017523,0,0.239188595,0,0,0,0,0,0,0,0,0,0,0.239188595,0,0,0,0.026573853,0.026573853,0,0
375,2022-06-28,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0,0,1.275672508,0,0,0,0,1.084321631,1.275672508,0,0,0,1.17999707,0.031891813,0,0,0,0,0,0.318918127,0,0,0,0,0,0,0.159459063,0.637836254,0,0,0,0,0,3.476207583,2.13675145,9.535651994,0,1.275672508,0,0,0,0,0,0.063783625,0,0,0,0,0,0,0,0,0,0,0,0,0.318918127,0,0,0,0,0,0,0,0.318918127,0,1.435131571,11.48105257,76.38089139,0,0,0,0,0,0,0,0,0,0,0,0,0,2.870263142,0.318918127,0,10.52429819,0,0,0,0,0,0,0,0,0,0,0,0,0.318918127,0,0,0,1.243780695,0.318918127,0,0
378,2022-05-31,Salki/Palatas integrating tube,53,biologica,NA,1,2022,5,5.716981132,0,1.320754717,0,0,0,0,0,0,0,0,0.79245283,0.377358491,0,2.037735849,0,0,0,0,0.622641509,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0,0.735849057,3.679245283,6.245283019,0,5.471698113,0,0.20754717,0.037735849,0,0,0.547169811,0,0,0,0,0,0,0,0,0,0,0,0.094339623,2.735849057,7.452830189,0,0,0,0.283018868,0,0.188679245,0.566037736,0,0.377358491,5.754716981,8.679245283,0.377358491,0,0,0,0,0,0,0,0,0,0,0,1.886792453,0,0.377358491,0,4.528301887,0,0.377358491,0,0,0,0,0,0,0,0,0,0.471698113,0,0,0,0.018867925,0.113207547,0.622641509,0,0
378,2022-06-14,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,0.183486239,0,0.573394495,0,0,0,0,1.834862385,1.559633028,0,0,0.091743119,1.146788991,0.183486239,0.04587156,0,0,0,0,0.917431193,0,0.091743119,0,0,0,0,0.275229358,3.71559633,0.02293578,0,0,0,0,2.889908257,1.559633028,3.073394495,0,6.880733945,0,0,0,0,0,0.137614679,0,0,0,0,0,0,0,0,0,0,0,0,0.802752294,0.229357798,0,0,0,0,0,0.114678899,0.229357798,0,0.573394495,15.02293578,10.77981651,0.229357798,0,0,0,0,0,0,0,0,0,0,0,1.376146789,0,1.146788991,0,5.848623853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596330275,0.917431193,0,0
378,2022-06-28,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,1.513761468,0,1.070321101,0,0,0,0,2.155963303,1.513761468,0,0,0,0.458715596,0,0,0,0,0,0,0.137614679,0,0.04587156,0,0,0,0,0.275229358,3.623853211,0.02293578,0,0,0,0,3.302752294,0.871559633,6.697247706,0,5.963302752,0,0,0,0,0,1.422018349,0.275229358,0,0,0,0,0,0,0,0,0,0,0,0,0.611605505,0,0,0,0.458715596,0,0.152889908,0.458715596,0,0.152889908,23.08866972,22.17123853,1.834862385,0,0,0,0,0,0,0,0,0,0,0,0.152889908,0,1.529036697,0,7.186559633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.788990826,0.137614679,0,0
378,2022-07-26,Salki/Palatas integrating tube,53,biologica,NA,1,2022,7,1.19266055,0,4.357798165,0,0,0,0,1.422018349,2.064220183,0,0,0.091743119,0.963302752,0,0.183486239,0,0,0,0.027522936,0.642201835,0,0.183486239,0,0,0,0,7.064220183,0.137614679,0.050458716,0,0.04587156,0,0,0.917431193,0.458715596,4.449541284,0,11.46788991,0,0.183486239,0.366972477,0,0,1.376146789,0.321100917,0,0,0,0,0,0,0,0,0,0,0.229357798,0.688073394,0.917431193,0,0,0,0.688073394,0,0,9.174311927,0,0.458715596,14.22018349,38.76146789,0.688073394,0,0,0,0,0,0,0,0,0,0,0,0,0.458715596,1.834862385,0,13.76146789,0,0,0,0,0,1.605504587,0,0,0,0,0,0,0,0,0,0,0.642201835,0.642201835,0,0
442,2022-06-08,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,5.430107527,0,17.47311828,0,0,0,0,0.994623656,1.23655914,0,0,0.403225806,0.215053763,0,0,0,0,0,0,0.779569892,0,0,0,0,0,0,0.053763441,0.241935484,0,0,0,0,0,1.989247312,1.827956989,12.84946237,0,19.62365591,0,0.107526882,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,2.688172043,1.075268817,0,0,0,1.88172043,0,0,2.150537634,0,0.268817204,10.48387097,59.40860215,2.150537634,0,0,2.150537634,0,0,0,0,0,0.268817204,0,0,0,9.946236559,3.494623656,0,26.88172043,2.419354839,2.150537634,0,0,0,0,0,0,0,0,0,0,0.537634409,0,0,0,0.403225806,0.779569892,0,0
442,2022-06-22,Salki/Palatas integrating tube,53,biologica,NA,1,2022,6,11.43956044,0,2.307692308,0,0,0,0,1.384615385,1.945054945,0,0,0,1.549450549,0,0,0,0,0,0,2.373626374,0,0,0,0,0,0,0.131868132,0.395604396,0.005494505,0,0,0,0,1.153846154,2.406593407,15.06593407,0,6.593406593,0,0.065934066,0,0,0,0.131868132,0.263736264,0,0,0,0,0,0,0,0,0,0,0,4.615384615,1.978021978,0,0,0,1.318681319,0,0.989010989,3.956043956,0,0.32967033,17.8021978,60,2.307692308,0,0,0,0,0,0,0,0,0,0.32967033,0,0,5.934065934,2.967032967,0,14.17582418,0.32967033,5.934065934,0,0,0,0,0,0.32967033,0,0,0,0,0.32967033,0,0,0,3,2.373626374,0,0
442,2022-07-20,Salki/Palatas integrating tube,53,biologica,NA,1,2022,7,0.232956989,0,3.548387097,0,0,0,0,0.143387097,1.138010753,0,0,0.008978495,0.376344086,0,0,0,0,0,0,0.116505376,0,0,0,0,0,0,0.116505376,0,0.010752688,0,0,0,0,0.098548387,0.206075269,1.281344086,0,6.451612903,0,0.044784946,0.008978495,0,0,0.044784946,0.062741935,0,0,0,0,0,0,0.967741935,0,0,0,0,0.967741935,1.612903226,0,0,0,0.322580645,0,4.838709677,5.806451613,0,0.322580645,14.51612903,54.51612903,0.967741935,0,0,0,0,0,0,0,0,0,0.64516129,0,0,1.612903226,4.193548387,0,20.32258065,0,0.967741935,0,0,0,0,0,0,0,0,0,0,0.322580645,0,0,0,0.340483871,0.116505376,0,0
626,2022-06-13,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,6,0.214312981,0,0.612322804,0,0,0,0,0.275545262,0.091848421,0,0,0.03061614,0.091848421,0,0,0,0,0,0,0.336777542,0,0,0,0,0,0,0,0.581706663,0,0,0,0,0,2.510523495,6.643702418,2.755452616,0,4.898582428,0,0.091848421,0,0,0,0.122464561,0,0,0,0,0,0,0,0.306161402,0,0,0,0,2.143129812,1.836968411,0,0,0,0,0,0,7.347873642,0,5.20474383,29.39149457,187.9831007,13.77726308,0,0,0,0,0,0,0,0,0,0.306161402,0,0,1.530807009,10.40948766,0,11.63413327,0,1.224645607,0,0,0,0,0,0,0,0,0,0,0.306161402,0,0,0,0.03061614,0.336777542,0,0
626,2022-07-25,"2-barrel, 2 net, closing",53,biologica,NA,1,2022,7,0.159459063,0,0,0,0,0,0,0.318918127,0.318918127,0,0,0.053147706,0,0,0,0,0,0,0.052621491,1.488279277,0,0.584688548,0,0,0,0,0,0,0,0,0,0,0,1.381983865,6.963051085,3.348640332,0,12.83645461,0,0.425229484,0.903606675,0,0,0.47837719,0.425229484,0,0,0,0,0,0,0.558106722,0,0,0,0,31.81208315,10.045921,0,0,0,0,0,0,7.255387386,0,71.99576713,122.2253721,15.62698822,15.06888149,0,0,0,0,0,0,0,0,0,0,0,0,8.929707552,1.116213444,0,72.55387386,0,1.116213444,0,0,0,0,0,0,0,0,0,0,2.232426888,0,0,0,2.817115436,1.488279277,0,0
